AAB	ABELAG AVIATION
AGT	AMADEUS GLOBAL TRAVEL DISTRIBUTION S.A.
AGU	ANGARA AIRLINES JSC
AGV	AIR GLACIERS SA
AGW	ARGO AIRWAYS
AGX	AVIOGENEX
AGY	AIR GO EGYPT
AGZ	AGROLET-MCI LTD
AHA	AIR ALPHA A/S
AHB	AIR ALBORAN S.L.
AHC	ASCENT HELICOPTERS
AHD	CZECH AIR HANDLING
AHE	AIRPORT HELICOPTER AHB AG
AHF	ASPEN HELICOPTERS, INC. (OXNARD, CA)
AHH	AIRPLANES HOLDINGS LTD
AHI	SERVICIOS AEREOS DE CHIHUAHUA AEROCHISA, S.A. DE C.V.
AHJ	AVIONES Y HELICOPTEROS EJECUTIVOS, S.A. DE C.V.
AHK	AHK AIR HONG KONG LIMITED
AHL	AEROLINEAS HIDALGO,S.A. DE C.V.
AHM	ATLANTIS HELICOPTERS DE MEXICO,S.A. DE C.V.
AHO	AIR HAMBURG, HAMBURG
AHR	AIR ADRIATIC
AHS	AHS AIR INTERNATIONAL (PVT) LTD
AHT	HTA HELICOPTEROS, LDA
AHU	ABC AIR HUNGARY LTD
AHW	SKY CAPITAL AIRLINES LTD.
AHX	AMAKUSA AIRLINES CO.,LTD
AHY	AZERBAIJAN HAVA YOLLARI, NATIONAL AIRLINE
AIA	AMELIA
AIB	AIRBUS INDUSTRIE
AIC	AIR INDIA LIMITED
AID	CHRISTIAN KONIG - CENTURY AIRBIRDS
AIE	AIR INUIT LTD
AIH	AIRZETA CO., LTD
AII	A247
AIJ	ABC AEROLINEAS, S.A. DE C.V.
AIK	AFRICAN AIRLINES INTERNATIONAL LIMITED
AIM	TRABAJOS AEREOS MURCIANOS S.L.
AIN	AFRICAN INTERNATIONAL AIRWAYS (PTY) LTD
AIO	CHIEF OF STAFF, UNITED STATES AIR FORCE (ANDREWS AFB, MD)
AIP	ALPINE AVIATION, INC. (PROVO, UT)
AIQ	THAI AIR ASIA CO., LTD
AIR	AIRLIFT INTERNATIONAL INC.
AIS	AIR SURESTE
AIT	AIR TAURUS LLC
AIW	AEROHELI INTERNATIONAL GMBH & CO KG
AIX	AIR ANDREW LTD.
AIY	AIRCREW CHECK AND TRAINING AUSTRALIA
AIZ	ARKIA ISRAEL INLAND AIRLINES
AJA	AFGHAN JET INTERNATIONAL AIRLINES
AJB	AMERICAN JET S.A.
AJC	BAR HARBOR AIRLINES (BANGOR, ME)
AJD	ASTONJET LIMITED
AJE	AERO JET EXPRESS, S.A. DE C.V.
AJF	AVIA CONSULT FLUGBETRIEBS GMBH
AJG	ATLANTIC JETS
AJH	AEROALJARAFE S.L.
AJI	AMERISTAR JET CHARTER, INC. (DALLAS, TX)
AJJ	AVCON JET AFRICA (PTY) LTD.
AJK	ALLIED AIR LIMITED
AJL	ALMAJET
AJM	AIR JAMAICA
AJN	AUTOMOTRIZ BAJA NORTE, S.A. DE C.V.
AJO	AV8JET CHARTER
AJP	ANAP BUSINESS JETS LIMITED
AJQ	AEROTECNICA JET SERVICES, INC.
AJR	A-JET AVIATION CO. LTD
AJS	AEROEJECUTIVOS, AEROSERVICIOS EJECUTIVOS
AJT	AMERIJET INTERNATIONAL (FT.LAUDERDALE, FL)
AJU	AIR JETSUL
AJV	ADVANCE AVIATION JET CO., LTD
AJW	ALPHA JET INTERNATIONAL (SHEFFIELD, AL)
AJX	AIR JAPAN CO., LTD
AJY	AJWAA AIRLINES
AJZ	ANGLO AMERICAN SOUTH AFRICA LIMITED
AKC	ASIALINK CARGO EXPRESS, PT.
AKG	84 SQN RAF AKROTIRI
AKH	AKHAL
AKJ	AKASA AIR
AKK	SUNDT AIR MANAGEMENT
AKL	AIR KIRIBATI LIMITED
AKN	ALKAN AIR LTD.
AKP	ASKARI AIR PAKISTAN
AKQ	AEROSPACE CONSORTIUM LTD
AKR	AERO CLINKER, S.A. DE C.V.
AKS	AIRWORKS KENYA LIMITED
AKT	BRADLEY AIR SERVICES LIMITED D/B/A CANADIAN NORTH
AKU	ALKEBULAN AIRLINES
AKV	AIRVAN KENYA LIMITED
AKW	ANGKOR AIRWAYS
AKX	ANA WINGS CO., LTD
AKY	YAK-SERVICE
AKZ	AK NAVIGATOR LLC
ALB	AERO ALBATROS
ALC	SOUTHERN JERSEY AIRWAYS, INC. (ATLANTIC CITY, NJ)
ALD	AIR LEISURE
ALE	ALLIANCE EXECUTIVE JETS LTD.
ALF	ALLIED COMMAND EUROPE (MOBILE FORCE)
ALH	ALANIA LLC
ALI	AIRLIFT AS
ALK	SRILANKAN AIRLINES
ALL	AIR ARABIA FOR AIR TRANSPORT
ALN	ALKAN AIR
ALO	PENNSYLVANIA COMMUTER AIRLINES, INC. (MIDDLETOWN, PA)
ALP	ALLPOINTS JET CO., LTD
ALQ	ALANNA LIMITED TRUST DISTRIBUTION
ALR	ALBORZ AIR
ALS	ALAS DEL SUR
ALT	AEROLINEAS CENTRALES, S.A. DE C.V.
ALU	AIR LUXOR STP
ALV	AEROPOSTAL ALAS DE VENEZUELA
ALX	ALPI JETS GMBH
ALY	ALAS URUGUAY (DYRUS S.A.)
ALZ	AZURE AVIATION LTD
AMA	AIRCOMPANY MOALEM AVIATION
AMB	DRF - STIFTUNG LUFTRETTUNG GEMEINNUETZIGE AG, FILDERSTADT
AMC	AIR MALTA PLC.
AMD	SA RED CROSS AIR MERCY SERVICE
AME	AERONAVE MILITAR ESPANOLA. MINISTERIO DE DEFENSA
AMF	AMERIFLIGHT, INC. (BURBANK, CA)
AMG	AIR MINAS LINHAS AEREAS LTDA.
AMH	AIR MACRAN
AMI	AIR AMERICA, INC. (CAROLINA, PR)
AMJ	AMJET EXECUTIVE S.A.
AMK	AMAC CORPORATE JET AG
AML	AIR MALAWI
AMM	MET EXPRESS AIR CORP.
AMN	AIR MONTENEGRO
AMP	AERO TRANSPORTE S.A. (ATSA)
AMQ	AMC AVIATION SP. Z.O.O.
AMR	AIR SPECIALTIES CORPORATION D/B/A/ AIR AMERICA/TOTAL AIR (LOS ANGELES, CA)
AMT	AIR MOUNTAIN
AMU	AIR MACAU
AMX	AEROVIAS DE MEXICO, S.A. DE C.V.
AMY	AIR MANDALAY LIMITED
AMZ	AMIYI AIRLINE LIMITED
ANA	ALL NIPPON AIRWAYS CO., LTD.
ANB	AIR NAVIGATION AND TRADING CO. LTD.
ANC	AVIAN LINEAS AEREAS S.A. - AVIANCA ARGENTINA
AND	SERVICIOS AEREOS DE LOS ANDES S.A.C.
ANE	AIR NOSTRUM LINEAS AEREAS DEL MEDITERRANEO, S.A.
ANG	AIR NIUGINI
ANH	ALAJNIHAH FOR AIR TRANSPORT
ANI	AIR ATLANTIC (NIG) LIMITED
ANJ	ALLEGIANCE AIR (PTY) LTD
ANK	AERO NOMAD AIRLINES LLC
ANL	NACOIA LDA
ANM	AEROTRANSPORTACION DE NORTEAMERICA, S.A. DE C.V.
ANO	CAPITEQ LIMITED, TRADING AS AIR NORTH REGIONAL
ANP	AIR NIGERIA DEVELOPMENT LIMITED
